(1,'Web Programming For Dummies','Books',22.99,10)
(2,'Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values','Books',15.29,6)
(3,'LG 55UM7300PUA Alexa Built-in 55','Television',399.99,4)
(4,'Sony XBR65X900F 65-Inch 4K Ultra HD Smart LED TV','Television',1098,8)
(5,'Blue Buffalo Life Protection Formula Natural Adult Dry Dog Food','Pet Food',49.98,4)
(6,'Merrick Classic Healthy Grains','Pet Food',34.99,7)
(7,'Fruit of the Loom Women's Built-Up Sports Bra (Pack of 3)','Clothing',15.99,25)
(8,'Spalding Women's Bootleg Yoga Pant','Clothing',17.99,15)
(9,Cards Against Humanity','Toys',25,4)
(10,'Ravensburger Disney Villainous: Perfectly Wretched Strategy Board Game','Toys',24.99,7)
